年,放送期間,タイトル
,10月5日 - 2007年3月29日,コードギアス 反逆のルルーシュ
,10月7日 - 2007年9月29日,ぷるるんっ!しずくちゃん
,10月7日 - 2007年10月27日,流星のロックマン
,10月16日 - 2008年2月11日,結界師
2007,1月6日 - 2008年3月29日,デルトラクエスト
,1月11日 - 6月28日,のだめカンタービレ
,1月11日 - 3月29日,ひだまりスケッチ
,4月1日 - 2009年3月29日,ゲゲゲの鬼太郎
,4月1日 - 9月30日,天元突破グレンラガン
,4月1日 - 9月23日,魔法少女リリカルなのはStrikerS
,4月3日 - 6月26日,この青空に約束を― ?ようこそつぐみ寮へ?
,4月4日 - 9月26日,機神大戦ギガンティック・フォーミュラ
,4月7日 - 9月22日,地球へ…
,4月8日 - 9月30日,ぼくらの
,4月8日 - 9月16日,らき☆すた
,4月12日 - 9月27日,おおきく振りかぶって
,5月12日 - 12月1日,電脳コイル
,6月11日 - 6月15日,トレジャーガウスト
,7月3日 - 9月11日,School Days
,7月7日 - 9月22日,さよなら絶望先生
,10月4日 - 2008年3月27日,CLANNAD
,10月6日 - 2008年3月29日,機動戦士ガンダム00（第1期）
,10月6日 - 2008年9月27日,しゅごキャラ!
,10月7日 - 12月30日,みなみけ
,10月11日 - 12月20日,もやしもん
,11月3日 - 2008年3月29日,流星のロックマン トライブ
2008,1月6日 - 3月30日,みなみけ おかわり
,1月10日 - 3月20日,墓場鬼太郎
,1月7日 - 3月31日,GUNSLINGER GIRL -IL TEATRINO-
,4月3日 - 9月25日,マクロスF
,4月6日 - 9月28日,コードギアス 反逆のルルーシュ R2
,4月7日 - 2009年3月30日,ソウルイーター
,4月11日 - 6月27日,図書館戦争
,7月3日 - 9月22日,ストライクウィッチーズ
,7月3日 - 9月25日,ひだまりスケッチ×365
,7月7日 - 9月29日,夏目友人帳
,10月1日 - 2009年3月25日,とらドラ!
,10月2日 - 2009年3月26日,CLANNAD ?AFTER STORY?
,10月3日 - 2009年3月20日,鉄のラインバレル
,10月4日 - 12月27日,かんなぎ
,10月5日 - 2009年3月29日,機動戦士ガンダム00（第2期）
,10月9日 - 2009年3月19日,とある魔術の禁書目録
,10月9日 - 12月18日,のだめカンタービレ 巴里編
2009,1月3日 - 3月28日,アキカン!
,1月4日 - 3月29日,みなみけ おかえり
,1月5日 - 6月29日,宇宙をかける少女
,1月8日 - 6月18日,黒神 The Animation
,4月1日 - 6月17日,戦国BASARA
,4月2日 - 6月25日,けいおん!
,4月2日 - 10月8日,涼宮ハルヒの憂鬱（再放送+新作）
,4月5日 - 2010年7月4日,鋼の錬金術師 FULLMETAL ALCHEMIST
,4月9日 - 6月18日,東のエデン
,7月2日 - 9月24日,大正野球娘。
,7月9日 - 9月18日,東京マグニチュード8.0
,7月11日 - 9月26日,よくわかる現代魔法
,10月1日 - 12月17日,けんぷファー
,10月2日 - 12月18日,生徒会の一存
,10月4日 - 12月27日,そらのおとしもの
,10月5日 - 2010年3月22日,とある科学の超電磁砲
2010,1月4日 - 3月22日,ソ・ラ・ノ・ヲ・ト
,1月6日 - 3月31日,バカとテストと召喚獣
,1月7日 - 6月24日,デュラララ!!
,1月7日 - 3月25日,ひだまりスケッチ×☆☆☆
,1月14日 - 3月25日,のだめカンタービレ フィナーレ
,4月2日 - 6月25日,Angel Beats!
,4月4日 - 6月25日,荒川アンダー ザ ブリッジ
,4月5日 - 6月28日,WORKING!!
,4月6日 - 9月28日,けいおん!!
,4月10日 - 7月3日,迷い猫オーバーラン!
,4月22日 - 7月1日,四畳半神話大系
,7月1日 - 9月16日,オオカミさんと七人の仲間たち
,7月3日 - 9月25日,生徒会役員共
,7月5日 - 9月27日,世紀末オカルト学院
,7月5日 - 9月27日,みつどもえ
,7月7日 - 9月22日,ストライクウィッチーズ2
,7月11日 - 9月26日,戦国BASARA弐
,10月1日 - 12月17日,IRON MAN -アイアンマン-
,10月1日 - 12月17日,そらのおとしものf
,10月2日 - 12月18日,えむえむっ!
,10月3日 - 12月19日,俺の妹がこんなに可愛いわけがない
,10月3日 - 2011年4月3日,STAR DRIVER 輝きのタクト
,10月4日 - 12月20日,侵略!イカ娘
,10月4日 - 12月20日,ヨスガノソラ
,10月6日 - 12月22日,神のみぞ知るセカイ
,10月7日 - 12月23日,それでも町は廻っている
,10月7日 - 12月23日,探偵オペラ ミルキィホームズ
,10月8日 - 2011年4月1日,とある魔術の禁書目録II
,12月10日 - 2011年2月25日,這いよる! ニャルアニ リメンバー・マイ・ラブ（クラフト先生）
2011,1月6日 - 3月31日,IS〈インフィニット・ストラトス〉
,1月6日 - 4月21日,魔法少女まどか☆マギカ
,1月6日 - 4月7日,夢喰いメリー
,1月8日 - 3月26日,お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!
,1月10日 - 4月4日,これはゾンビですか?
,1月10日 - 3月28日,ドラゴンクライシス!
,1月10日 - 2月28日,みつどもえ 増量中!
,1月13日 - 3月31日,フラクタル
,4月2日 - 9月17日,TIGER & BUNNY
,4月2日 - 6月25日,DOG DAYS
,4月2日 - 9月24日,日常
,4月3日 - 9月25日,花咲くいろは
,4月5日 - 9月13日,STEINS;GATE
,4月7日 - 6月23日,Aチャンネル
,4月8日 - 6月24日,そふてにっ
,4月10日 - 6月26日,アスタロッテのおもちゃ!
,4月11日 - 6月27日,神のみぞ知るセカイII
,4月11日 - 6月27日,星空へ架かる橋
,4月14日 - 6月23日,あの日見た花の名前を僕達はまだ知らない。
,4月14日 - 6月23日,C
,4月14日 - 6月30日,電波女と青春男
,4月14日 - 6月30日,緋弾のアリア
,7月2日 - 9月17日,セイクリッドセブン
,7月4日 - 9月19日,ゆるゆり
,7月7日 - 12月22日,THE IDOLM@STER
,7月7日 - 9月15日,NO.6
,7月7日 - 9月29日,バカとテストと召喚獣にっ!
,7月7日 - 12月22日,輪るピングドラム
,7月9日 - 9月24日,R-15
,9月26日 - 12月26日,侵略!?イカ娘
,10月1日 - 12月24日,WORKING'!!
,10月6日 - 12月22日,僕は友達が少ない
,10月9日 - 2012年9月23日,機動戦士ガンダムAGE
,10月9日 - 2012年4月15日,未来日記
2012,1月5日 - 3月22日,探偵オペラ ミルキィホームズ 第2幕
,1月5日 - 3月29日,キルミーベイベー
,1月6日 - 3月30日,戦姫絶唱シンフォギア
,1月8日 - 3月25日,輪廻のラグランジェ
,1月9日 - 3月26日,あの夏で待ってる
,1月10日 - 3月27日,パパのいうことを聞きなさい!
,2月2日 - 3月22日,ブラック★ロックシューター
,2月5日 - 2013年1月27日,スマイルプリキュア!
,4月4日 - 6月6日,これはゾンビですか? オブ・ザ・デッド
,4月4日 - 6月20日,めだかボックス
,4月5日 - 6月28日,あっちこっち
,4月5日 - 6月28日,さんかれあ
,4月6日 - 9月21日,アクセル・ワールド
,4月7日 - 6月30日,謎の彼女X
,4月9日 - 6月25日,這いよれ! ニャル子さん
,4月12日 - 6月28日,つり球
,4月22日 - 9月16日,氷菓
,4月29日 - 7月22日,AKB0048
,7月1日 - 9月16日,人類は衰退しました
,7月1日 - 9月23日,TARI TARI
,7月1日 - 12月23日,トータル・イクリプス
,7月1日 - 9月23日,輪廻のラグランジェ season2
,7月2日 - 9月17日,ゆるゆり♪♪
,7月4日 - 9月5日,うぽって!!
,7月5日 - 9月13日,もやしもん リターンズ
,7月5日 - 9月27日,じょしらく
,7月5日 - 9月27日,恋と選挙とチョコレート
,7月7日 - 9月29日,DOG DAYS'
,7月7日 - 12月22日,ソードアート・オンライン
,7月7日 - 9月29日,ココロコネクト
,9月28日 - 2013年3月22日,新世界より
,10月3日 - 12月19日,中二病でも恋がしたい!
,10月3日 - 12月5日,えびてん 公立海老栖川高校天悶部
,10月4日 - 12月20日,ひだまりスケッチ×ハニカム
,10月4日 - 12月20日,武装神姫
,10月5日 - 12月21日,お兄ちゃんだけど愛さえあれば関係ないよねっ
,10月6日 - 12月29日,はいたい七葉
,10月6日 - 2013年4月6日,リトルバスターズ!
,10月7日 - 12月23日,てーきゅう（第1期）
,10月8日 - 2013年3月25日,ガールズ&パンツァー
,10月8日 - 2013年3月25日,さくら荘のペットな彼女
,10月10日 - 12月26日,めだかボックス アブノーマル
,10月11日 - 2013年3月21日,PSYCHO-PASS サイコパス
,10月11日 - 2013年3月21日,ROBOTICS;NOTES
2013,1月2日 - 3月20日,ヤマノススメ
,1月5日 - 3月30日,俺の彼女と幼なじみが修羅場すぎる
,1月5日 - 3月30日,AKB0048 next stage
,1月5日 - 3月30日,みなみけ ただいま
,1月6日 - 3月31日,ラブライブ!（第1期）
,1月9日 - 3月27日,たまこまーけっと
,1月9日 - 3月13日,生徒会の一存 Lv.2
,1月10日 - 3月28日,ビビッドレッド・オペレーション
,1月10日 - 3月28日,ささみさん@がんばらない
,1月10日 - 3月28日,僕は友達が少ないNEXT
,1月10日 - 3月28日,琴浦さん
,2月5日 - 4月23日,直球表題ロボットアニメ
,4月3日 - 6月26日,断裁分離のクライムエッジ
,4月3日 - 6月19日,RDG レッドデータガール
,4月4日 - 9月19日,銀河機攻隊 マジェスティックプリンス
,4月4日 - 6月27日,やはり俺の青春ラブコメはまちがっている。
,4月5日 - 7月5日,惡の華
,4月5日 - 6月21日,デート・ア・ライブ
,4月6日 - 6月29日,俺の妹がこんなに可愛いわけがない。
,4月6日 - 9月28日,進撃の巨人
,4月7日 - 9月29日,宇宙戦艦ヤマト2199
,4月7日 - 6月30日,翠星のガルガンティア
,4月7日 - 6月30日,這いよれ! ニャル子さんW
,4月9日 - 6月25日,ゆゆ式
,4月11日 - 6月27日,革命機ヴァルヴレイヴ（第1期）
,4月12日 - 9月27日,とある科学の超電磁砲S
,4月13日 - 6月29日,変態王子と笑わない猫。
,7月4日 - 9月26日,ステラ女学院高等科C3部
,7月4日 - 9月26日,ダンガンロンパ 希望の学園と絶望の高校生 The Animation
,7月4日 - 9月26日,戦姫絶唱シンフォギアG
,7月6日 - 9月21日,きんいろモザイク
,7月7日 - 9月22日,てーきゅう（第2期）
